BookingID,LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,NumWeekendNights,NumWeekNights,Parking,NumAdults,NumChildren,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,ArrivalDayOfYear,TotalNights,TotalGuests,TotalPrice,MealPlan_Meal Plan 1,MealPlan_Meal Plan 2,MealPlan_Meal Plan 3,MealPlan_Not Selected,RoomType_Room_Type 1,RoomType_Room_Type 2,RoomType_Room_Type 3,RoomType_Room_Type 4,RoomType_Room_Type 5,RoomType_Room_Type 6,RoomType_Room_Type 7,MarketSegment_Aviation,MarketSegment_Complementary,MarketSegment_Corporate,MarketSegment_Offline,MarketSegment_Online,BookingStatus_Not_Canceled
1,10,2018,3,31,0,1,0,1,0,0,0,0,95.0,0,90,1,1,95.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,116,2018,2,28,2,1,0,1,0,0,0,0,61.0,0,59,3,1,183.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3,11,2018,7,25,1,2,0,2,1,0,0,0,129.75,1,206,3,3,389.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
4,3,2017,9,12,0,1,0,2,0,0,0,0,152.0,3,255,1,2,152.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
5,28,2018,3,7,1,3,0,2,0,0,0,0,87.0,0,66,4,2,348.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
6,213,2018,6,7,0,3,0,2,0,0,0,0,130.0,0,158,3,2,390.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7,35,2017,9,18,0,2,0,2,0,0,0,0,145.35,1,261,2,2,290.7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
8,1,2018,11,9,2,4,0,1,0,0,0,0,0.0,1,313,6,1,0.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
9,346,2018,9,13,0,2,0,2,0,0,0,0,115.0,1,256,2,2,230.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10,79,2018,9,3,2,5,0,2,0,0,0,0,95.0,0,246,7,2,665.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
11,66,2017,11,19,0,3,0,2,2,0,0,0,135.0,3,323,3,4,405.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
