BookingID,LeadTime,ArrivalYear,ArrivalMonth,ArrivalDate,NumWeekendNights,NumWeekNights,MealPlan,Parking,RoomType,NumAdults,NumChildren,MarketSegment,RepeatedGuest,NumPrevCancellations,NumPreviousNonCancelled,AvgRoomPrice,SpecialRequests,BookingStatus
29020,211,2018,5,20,0,2,0,0,0,2,0,4,0,0,0,100.0,0,0
29021,121,2018,7,6,0,4,0,0,0,3,0,3,0,0,0,96.9,1,0
29022,30,2018,11,26,2,1,2,0,0,2,0,4,0,0,0,88.0,0,0
29023,256,2018,6,15,0,2,1,0,0,2,0,4,0,0,0,115.0,1,0
29024,122,2018,11,25,0,1,0,0,0,1,0,2,0,0,0,67.0,0,0
29025,37,2017,11,6,1,2,0,0,0,1,0,4,0,0,0,37.33,0,0
29026,56,2018,12,7,0,3,0,0,1,0,2,4,0,0,0,82.44,1,0
29027,34,2018,6,19,2,1,0,0,0,1,0,4,0,0,0,81.0,0,0
29028,35,2018,6,21,0,2,0,0,0,2,0,4,0,0,0,102.0,1,0
29029,96,2018,4,10,2,1,0,0,0,3,0,4,0,0,0,121.8,1,0
29030,57,2018,11,1,0,4,2,0,0,2,0,4,0,0,0,79.2,1,0
29031,169,2018,4,22,2,2,1,0,0,2,0,4,0,0,0,106.0,0,0
29032,2,2017,9,10,0,1,0,0,0,1,0,1,0,0,0,0.0,1,0
29033,30,2018,10,5,0,3,0,0,3,2,0,4,0,0,0,157.5,2,0
29034,267,2018,12,31,1,1,0,0,3,3,0,4,0,0,0,121.5,0,0
29035,46,2018,3,4,1,2,0,1,3,2,0,4,0,0,0,98.3,1,0
29036,188,2018,6,15,0,2,0,0,0,1,0,4,0,0,0,130.0,0,0
29037,118,2018,4,13,0,4,0,0,0,2,0,4,0,0,0,90.95,1,0
29038,189,2018,10,23,1,0,2,0,0,2,0,4,0,0,0,85.5,2,0
29039,40,2018,6,30,2,3,0,0,0,2,0,4,0,0,0,117.9,1,0
29040,123,2018,8,13,2,2,0,1,3,3,0,4,0,0,0,155.7,1,0
29041,68,2018,4,24,2,0,0,0,3,3,0,4,0,0,0,133.2,2,0
29042,30,2018,3,30,0,2,0,0,0,2,0,3,0,0,0,85.5,0,0
29043,1,2018,10,20,0,2,2,0,0,2,0,4,0,0,0,135.0,2,0
29044,11,2017,10,9,0,1,0,0,3,2,0,4,0,0,0,155.0,2,0
29045,27,2018,4,15,2,4,0,0,3,3,0,4,0,0,0,142.72,0,0
29046,13,2018,5,9,1,2,0,0,0,1,0,3,0,0,0,90.0,0,0
29047,39,2018,3,28,1,0,0,0,0,2,0,4,0,0,0,117.9,1,0
29048,112,2018,5,4,0,4,2,0,0,2,0,4,0,0,0,101.58,1,0
29049,280,2018,9,19,1,2,0,0,0,2,0,4,0,0,0,110.0,0,0
29050,196,2018,8,22,1,5,0,0,0,2,0,4,0,0,0,99.45,0,0
29051,273,2018,5,13,1,2,0,0,0,2,0,4,0,0,0,95.0,0,0
29052,111,2018,5,2,1,3,0,0,0,2,0,4,0,0,0,101.58,1,0
29053,34,2018,8,21,2,3,0,0,0,2,0,3,0,0,0,85.0,0,0
29054,4,2017,9,22,0,1,0,0,0,2,0,4,0,0,0,145.0,2,0
29055,195,2018,8,13,2,1,0,0,0,3,0,4,0,0,0,106.03,1,0
29056,13,2018,12,5,1,1,2,0,0,1,0,4,0,0,0,88.0,0,0
29057,78,2018,3,20,2,5,0,0,3,2,1,4,0,0,0,86.32,1,0
29058,335,2018,10,13,0,3,0,0,0,2,0,3,0,0,0,90.0,1,0
29059,103,2017,8,22,2,5,0,0,0,2,0,4,0,0,0,55.96,0,0
29060,4,2017,9,19,2,2,0,0,5,1,2,4,0,0,0,200.75,2,0
29061,15,2018,3,18,0,2,0,0,0,2,1,4,0,0,0,127.0,1,0
29062,36,2018,12,26,1,3,0,0,0,2,0,4,0,0,0,102.0,0,0
29063,35,2018,12,2,2,2,2,0,0,2,0,4,0,0,0,74.8,2,0
29064,79,2018,6,16,2,4,2,0,0,2,0,4,0,0,0,120.6,0,0
29065,33,2018,2,8,1,0,0,0,0,2,0,4,0,0,0,80.3,1,0
29066,0,2017,11,9,1,3,0,0,0,1,0,4,0,0,0,91.0,1,1
29067,43,2017,10,2,2,3,0,0,0,2,0,3,0,0,0,58.4,0,0
29068,102,2017,10,16,0,2,1,0,0,2,0,4,0,0,0,101.5,0,0
29069,57,2018,12,9,0,2,0,0,3,3,0,4,0,0,0,126.0,2,0
29070,167,2018,6,28,0,4,2,0,0,2,0,4,0,0,0,62.18,0,0
29071,113,2018,9,7,1,4,0,0,0,1,0,4,0,0,0,118.8,0,0
29072,1,2018,8,10,0,2,2,1,0,2,0,4,0,0,0,167.0,0,0
29073,128,2017,8,8,1,1,0,0,0,2,1,4,0,0,0,76.5,2,0
29074,118,2018,4,3,2,1,0,0,0,2,0,4,0,0,0,87.3,1,0
29075,41,2017,9,4,0,1,1,0,0,1,0,3,0,0,0,83.0,0,0
29076,68,2018,1,2,2,1,0,0,0,2,0,3,1,1,0,63.0,1,0
29077,189,2018,10,28,1,2,0,0,3,2,0,4,0,0,0,109.8,0,0
29078,95,2017,12,29,0,4,0,0,3,2,0,3,0,0,0,60.5,0,0
29079,83,2017,9,30,0,1,1,0,0,2,0,3,0,0,0,112.2,0,0
29080,37,2018,8,1,1,3,0,0,0,2,0,4,0,0,0,135.9,0,0
29081,151,2018,7,9,2,5,0,0,0,2,0,4,0,0,0,103.09,0,0
29082,79,2018,6,24,0,2,1,0,0,2,0,3,0,0,0,109.0,0,0
29083,245,2018,6,17,0,2,0,0,0,2,0,4,0,0,0,75.0,0,0
29084,273,2017,7,17,0,2,1,0,0,2,0,4,0,0,0,109.0,0,0
29085,110,2017,7,25,2,1,1,0,0,2,0,4,0,0,0,94.5,0,0
29086,127,2018,6,26,2,2,0,0,3,2,0,4,0,0,0,103.7,1,0
29087,11,2018,7,5,2,6,0,0,0,1,0,4,0,0,0,145.0,0,0
29088,1,2018,2,28,2,1,0,0,0,1,0,4,0,0,0,60.0,0,0
29089,50,2018,2,22,1,4,0,0,0,3,0,4,0,0,0,78.85,1,0
29090,39,2018,8,13,2,3,1,0,0,2,0,4,0,0,0,170.1,2,0
29091,386,2018,10,23,2,0,1,0,0,2,0,4,0,0,0,115.0,1,0
29092,22,2017,12,29,0,5,0,0,5,2,2,4,0,0,0,199.0,0,0
29093,102,2018,7,10,2,2,0,0,3,2,0,3,0,0,0,82.45,0,0
29094,17,2018,5,21,2,1,0,0,0,2,0,3,0,0,0,95.0,0,0
29095,125,2018,9,7,0,4,0,0,0,2,0,4,0,0,0,136.0,2,0
29096,107,2017,9,9,0,2,0,0,0,2,0,4,0,0,0,89.25,1,0
29097,29,2018,3,18,0,1,2,0,0,2,0,4,0,0,0,79.0,0,0
29098,124,2018,12,26,1,3,0,0,5,2,1,4,0,0,0,156.61,2,0
